time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
1713,0,1.129266,1.527245,2.983636,0.2132269,0,0.8830303,1.416884,2.739805,0.006966398,0.4574172
1727,0,1.127757,1.527427,2.981351,0.196159,0,0.8830621,1.416729,2.739899,0.01314773,-0.8533947
1741,0,1.126479,1.527334,2.979087,0.1859577,0,0.8831074,1.416518,2.740004,0.01715531,-0.5100645
1755,0,1.125354,1.526953,2.976733,0.1941513,0,0.8831425,1.416333,2.740079,0.01495713,0.4096784
1769,0,1.124031,1.526541,2.974144,0.2062513,0,0.8832145,1.416129,2.740122,0.01547515,0.6050013
1782,0,1.122206,1.525964,2.971245,0.2506152,0,0.883289,1.416036,2.740118,0.008574436,2.218194
1798,0,1.118899,1.524824,2.967807,0.3451877,0,0.8833762,1.415999,2.740088,0.006981549,4.728627
1811,0,1.115238,1.52335,2.964493,0.3650328,0,0.8834541,1.416006,2.740063,0.005828675,0.9922519
1825,0,1.110622,1.521365,2.96103,0.4401023,0,0.8835223,1.416026,2.740033,0.005574417,3.753479
1839,0,1.106348,1.518902,2.957959,0.4256936,0,0.8836546,1.416081,2.739971,0.01141538,-0.7204369
1853,0,1.102948,1.516311,2.955432,0.3571551,0,0.8838636,1.416255,2.739849,0.02147152,-3.426924
1867,0,1.100526,1.513919,2.953618,0.2762479,0,0.8840057,1.416421,2.739746,0.01724265,-4.045363
1881,0,1.098891,1.511487,2.95238,0.2276791,0,0.8840865,1.416507,2.739692,0.009334612,-2.428439
1895,0,1.098464,1.508727,2.952487,0.2008685,0,0.8841592,1.41658,2.739635,0.008421074,-1.340532
1909,0,1.09863,1.506017,2.95323,0.2012898,0,0.8842087,1.41662,2.739589,0.005644635,0.02106652
1922,0,1.099016,1.503572,2.954233,0.1931992,0,0.8842525,1.416655,2.739544,0.005226676,-0.4045308
1936,0,1.100621,1.501445,2.956483,0.253108,0,0.8843303,1.416717,2.739446,0.01013307,2.995441
1950,0,1.102343,1.49969,2.958763,0.2381976,0,0.8843952,1.416772,2.739357,0.008719617,-0.7455223
1964,0,1.104503,1.497756,2.961291,0.2741,0,0.8844227,1.416808,2.739301,0.005094097,1.795124
1978,0,1.107435,1.495887,2.964597,0.346116,0,0.884487,1.416917,2.7392,0.01167893,3.6008
1992,0,1.111075,1.494303,2.968627,0.4041335,0,0.8845753,1.417091,2.739067,0.01688223,2.900872
2006,0,1.113907,1.49252,2.971808,0.331626,0,0.8846607,1.417275,2.738936,0.01733155,-3.625372
2020,0,1.116699,1.490863,2.974814,0.3206974,0,0.8847677,1.417519,2.738777,0.02254813,-0.5464301
2034,0,1.11921,1.490027,2.977355,0.2672029,0,0.8848476,1.417724,2.738648,0.01853547,-2.674729
2047,0,1.121374,1.489558,2.979438,0.2148294,0,0.8849068,1.417909,2.738538,0.01580018,-2.618672
2061,0,1.123547,1.489714,2.981246,0.2041914,0,0.8849375,1.418062,2.738439,0.01330389,-0.5319014
2076,0,1.125823,1.489877,2.982911,0.2002465,0,0.8849577,1.418199,2.738353,0.01156319,-0.1972467
2090,0,1.127595,1.490138,2.984268,0.1611895,0,0.8849645,1.418277,2.738305,0.006573919,-1.952847
2103,0,1.128667,1.490456,2.985245,0.10747,0,0.8849682,1.418338,2.738282,0.004707958,-2.685977
2119,0,1.129026,1.490808,2.985789,0.04868059,0,0.8849434,1.41838,2.738277,0.003236619,-2.939469
2132,0,1.129538,1.490773,2.986415,0.05994717,0,0.8849066,1.418387,2.738286,0.002839322,0.5633287
2146,0,1.130376,1.490398,2.987264,0.09070007,0,0.8848203,1.418349,2.738335,0.007725882,1.537645
2159,0,1.131171,1.489962,2.98824,0.09744139,0,0.8847098,1.418219,2.73843,0.01428603,0.3370661
2173,0,1.132162,1.489512,2.989384,0.1143636,0,0.8845798,1.417951,2.738594,0.02462552,0.8461088
2187,0,1.133366,1.488921,2.990478,0.1278244,0,0.8844202,1.417528,2.738817,0.03722765,0.673043
2201,0,1.134417,1.488443,2.991379,0.1044187,0,0.884292,1.417211,2.73897,0.02671095,-1.170287
2216,0,1.134966,1.488412,2.991998,0.05882239,0,0.8841847,1.41695,2.739093,0.0218855,-2.279815
